Date;Now;Start;High;Low;High
1.05.2019;6,6802;6,6905;6,7089;6,662;-0,16%
2.05.2019;6,6674;6,6823;6,7012;6,6528;-0,19%
3.05.2019;6,6818;6,6773;6,7012;6,6412;0,22%
5.05.2019;6,6968;6,6822;6,7053;6,6589;0,22%
6.05.2019;6,8103;6,6819;6,8861;6,6593;1,69%
7.05.2019;6,8837;6,8097;6,9488;6,7965;1,08%
8.05.2019;6,9231;6,8844;6,9405;6,8754;0,57%
9.05.2019;6,9456;6,9184;7,0224;6,8845;0,32%
10.05.2019;6,7242;6,9577;6,9737;6,6961;-3,19%
12.05.2019;6,7343;6,7284;6,7503;6,7165;0,15%
13.05.2019;6,8011;6,7297;6,8928;6,6893;0,99%
14.05.2019;6,7618;6,8037;6,8737;6,703;-0,58%
15.05.2019;6,7219;6,7588;6,8277;6,7099;-0,59%
16.05.2019;6,7556;6,7229;6,7766;6,7134;0,50%
17.05.2019;6,7571;6,7522;6,8106;6,7212;0,02%
19.05.2019;6,7664;6,7568;6,7699;6,7503;0,14%
20.05.2019;6,7327;6,7658;6,7914;6,6964;-0,50%
21.05.2019;6,7549;6,7257;6,7829;6,6958;0,33%
22.05.2019;6,8032;6,7676;6,8379;6,7478;0,72%
23.05.2019;6,8161;6,7923;6,857;6,7825;0,19%
24.05.2019;6,8152;6,8179;6,8591;6,7581;-0,01%
26.05.2019;6,8129;6,8134;6,8475;6,8076;-0,03%
27.05.2019;6,7896;6,8175;6,8474;6,7499;-0,34%
28.05.2019;6,7319;6,7866;6,8072;6,6932;-0,85%
29.05.2019;6,692;6,7308;6,7613;6,6801;-0,59%
30.05.2019;6,5416;6,6906;6,7152;6,5132;-2,25%
31.05.2019;6,5309;6,5422;6,5959;6,4765;-0,16%
2.06.2019;6,5459;6,523;6,5561;6,515;0,23%
3.06.2019;6,5579;6,5256;6,5933;6,5023;0,18%
4.06.2019;6,5064;6,5615;6,6062;6,4638;-0,79%
5.06.2019;6,4307;6,4981;6,5221;6,3919;-1,16%
6.06.2019;6,5176;6,439;6,543;6,4157;1,35%
7.06.2019;6,6083;6,5139;6,6231;6,5123;1,39%
9.06.2019;6,6137;6,6079;6,6156;6,5983;0,08%
10.06.2019;6,5338;6,603;6,6259;6,5024;-1,21%
11.06.2019;6,5695;6,535;6,6143;6,503;0,55%
12.06.2019;6,5569;6,5644;6,6113;6,5251;-0,19%
13.06.2019;6,6175;6,5614;6,662;6,5529;0,92%
14.06.2019;6,615;6,6145;6,6971;6,5784;-0,04%
16.06.2019;6,6362;6,6172;6,6488;6,6105;0,32%
17.06.2019;6,5885;6,6223;6,6521;6,5605;-0,72%
18.06.2019;6,5237;6,5908;6,6113;6,5057;-0,98%
19.06.2019;6,5014;6,5256;6,6313;6,4988;-0,34%
20.06.2019;6,5096;6,4973;6,5941;6,4581;0,13%
21.06.2019;6,6178;6,5059;6,6293;6,4871;1,66%
23.06.2019;6,5627;6,6119;6,6248;6,5166;-0,83%
24.06.2019;6,6211;6,6137;6,6365;6,4872;0,89%
25.06.2019;6,5865;6,6211;6,645;6,5436;-0,52%
26.06.2019;6,5659;6,5892;6,6093;6,529;-0,31%
27.06.2019;6,5643;6,5639;6,5883;6,543;-0,02%
28.06.2019;6,5841;6,5641;6,5978;6,5401;0,30%
