"Date","Price","Open","High","Low","Change %"
"May 12, 2020","7.5911","7.6361","7.6377","7.5627","-0.74%"
"May 11, 2020","7.6480","7.6832","7.7126","7.6350","-0.41%"
"May 08, 2020","7.6794","7.7133","7.7838","7.6475","-0.44%"
"May 07, 2020","7.7133","7.7674","7.8467","7.6107","-0.72%"
"May 06, 2020","7.7689","7.6688","7.7909","7.6556","1.34%"
"May 05, 2020","7.6664","7.6838","7.7141","7.6421","-0.21%"
"May 04, 2020","7.6825","7.6996","7.7158","7.6474","-0.23%"
"May 01, 2020","7.6999","7.6543","7.7559","7.6361","0.59%"
"Apr 30, 2020","7.6550","7.5600","7.6723","7.5387","1.25%"
"Apr 29, 2020","7.5603","7.5597","7.6050","7.5360","0.01%"
"Apr 28, 2020","7.5597","7.5656","7.6238","7.5542","-0.08%"
"Apr 27, 2020","7.5660","7.5430","7.5920","7.5156","0.25%"
"Apr 24, 2020","7.5474","7.4866","7.5616","7.4683","0.81%"
"Apr 23, 2020","7.4866","7.5534","7.5662","7.4706","-0.88%"
"Apr 22, 2020","7.5531","7.5795","7.6181","7.5440","-0.36%"
"Apr 21, 2020","7.5802","7.5384","7.6073","7.5180","0.54%"
"Apr 20, 2020","7.5392","7.5380","7.5715","7.4637","0.02%"
"Apr 17, 2020","7.5377","7.5205","7.5618","7.4008","0.23%"
"Apr 16, 2020","7.5205","7.5411","7.5610","7.4977","-0.26%"
"Apr 15, 2020","7.5401","7.4841","7.5777","7.4725","0.75%"
"Apr 14, 2020","7.4841","7.3917","7.4960","7.3826","1.26%"
"Apr 13, 2020","7.3911","7.3278","7.4475","7.3266","0.87%"
"Apr 10, 2020","7.3272","7.2954","7.3639","7.2750","0.45%"
"Apr 09, 2020","7.2947","7.3549","7.3734","7.2347","-0.82%"
"Apr 08, 2020","7.3547","7.3552","7.3898","7.3259","-0.01%"
"Apr 07, 2020","7.3552","7.3193","7.3946","7.2733","0.49%"
"Apr 06, 2020","7.3193","7.2715","7.3386","7.2548","0.60%"
"Apr 03, 2020","7.2755","7.1829","7.3008","7.1746","1.29%"
"Apr 02, 2020","7.1829","7.3484","7.3664","7.1452","-2.25%"
"Apr 01, 2020","7.3485","7.2962","7.3630","7.2547","0.72%"
"Mar 31, 2020","7.2962","7.2663","7.3099","7.1746","0.40%"
"Mar 30, 2020","7.2673","7.1886","7.2839","7.1611","1.04%"
"Mar 27, 2020","7.1922","7.0572","7.1996","7.0485","1.91%"
"Mar 26, 2020","7.0572","6.9830","7.1062","6.9736","1.06%"
"Mar 25, 2020","6.9830","6.9268","7.0167","6.9011","0.81%"
