,img_name,odour_begin,img_begin,img_end,odour_end,want_rating_time,like_rating_time,want_scale_rating,like_scale_rating
0,beer\odour\img10.jpg,10.009988000034356,22.07249910000246,26.07292160001816,,,,,
1,beer\odour\img8.jpg,,26.116278200002853,30.11663350003073,,,,,
2,beer\odour\img6.jpg,,30.168793399992865,34.16914640000323,,,,,
3,beer\odour\img13.jpg,,34.225955400033854,38.226308300043456,,,,,
4,beer\odour\img19.jpg,,38.27160889998777,42.27196320000803,42.27229650004301,46.128997099993285,47.7620062000351,2.0,2.0
5,wine\odour\img16.jpg,62.28913160000229,74.33900560002076,78.33936159999575,,,,,
6,wine\odour\img11.jpg,,78.38815600000089,82.38851800002158,,,,,
7,wine\odour\img8.jpg,,82.43389139999636,86.43424820003565,,,,,
8,wine\odour\img13.jpg,,86.47323100001086,90.47359780000988,,,,,
9,wine\odour\img15.jpg,,90.51680400001352,94.51715999998852,94.51748919999228,97.99571250000736,100.1791377000045,3.0,3.0
10,rose\odour\img10.jpg,114.53381170000648,126.58206990000326,130.5824393000221,,,,,
11,rose\odour\img18.jpg,,130.6274371999898,134.62778899999105,,,,,
12,rose\odour\img7.jpg,,134.67574860004245,138.67611170001328,,,,,
13,rose\odour\img5.jpg,,138.71896130003734,142.71934519999195,,,,,
14,rose\odour\img11.jpg,,142.7647032000241,146.7651311000227,146.76544320001267,149.31216740002856,150.64583640004275,4.0,5.0
15,lavender\odour\img15.jpg,166.7817400000058,178.8287255000323,182.8290981000173,,,,,
16,lavender\odour\img0.jpg,,182.8743162000319,186.87465890002204,,,,,
17,lavender\odour\img4.jpg,,186.9227275000303,190.92308420001063,,,,,
18,lavender\odour\img14.jpg,,190.9687544000335,194.96910330001265,,,,,
19,lavender\odour\img5.jpg,,195.020956500026,199.0213232000242,199.0216355000157,203.2292269000318,204.5960811999976,1.0,4.0
20,orange\odour\img7.jpg,219.0377161999932,231.0942412000149,235.09461319999536,,,,,
21,orange\odour\img1.jpg,,235.14352370001143,239.1438793000416,,,,,
